batch_name,target,input_file,t_end,dt,eps,particles,threads_or_device,total_steps,total_time_s_or_ms,min_step,avg_step,steps_per_sec,trajectories_path
N100_dt10,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,10,1e-05,100,16,1000,1.998029,0.000222,0.001998,500.493,(disabled)
N100_dt10,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,10,1e-05,100,NVIDIA GeForce RTX 3070 Laptop GPU,1000,208.744080,0.138240,0.208744,4790.555,(disabled)
N100_dt5,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,5,1e-05,100,16,2000,0.516636,0.000189,0.000258,3871.194,(disabled)
N100_dt5,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,5,1e-05,100,NVIDIA GeForce RTX 3070 Laptop GPU,2000,323.376495,0.132096,0.161688,6184.741,(disabled)
N100_dt2,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,2,1e-05,100,16,5000,1.034092,0.000157,0.000207,4835.161,(disabled)
N100_dt2,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N100.txt,10000,2,1e-05,100,NVIDIA GeForce RTX 3070 Laptop GPU,5000,750.804688,0.133120,0.150161,6659.521,(disabled)
N500_dt10,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,10,1e-05,500,16,1000,2.760747,0.002048,0.002761,362.221,(disabled)
N500_dt10,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,10,1e-05,500,NVIDIA GeForce RTX 3070 Laptop GPU,1000,1034.832031,0.946016,1.034832,966.340,(disabled)
N500_dt5,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,5,1e-05,500,16,2000,5.911831,0.002491,0.002956,338.305,(disabled)
N500_dt5,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,5,1e-05,500,NVIDIA GeForce RTX 3070 Laptop GPU,2000,1967.126221,0.946176,0.983563,1016.712,(disabled)
N500_dt2,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,2,1e-05,500,16,5000,13.812703,0.002099,0.002763,361.986,(disabled)
N500_dt2,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N500.txt,10000,2,1e-05,500,NVIDIA GeForce RTX 3070 Laptop GPU,5000,4837.541016,0.945152,0.967508,1033.583,(disabled)
N2000_dt10,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,10,1e-05,2000,16,1000,34.518569,0.031187,0.034519,28.970,(disabled)
N2000_dt10,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,10,1e-05,2000,NVIDIA GeForce RTX 3070 Laptop GPU,1000,4344.142578,4.257728,4.344142,230.195,(disabled)
N2000_dt5,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,16,2000,66.641565,0.031060,0.033321,30.011,(disabled)
N2000_dt5,cuda,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,NVIDIA GeForce RTX 3070 Laptop GPU,2000,8550.771484,4.245504,4.275386,233.897,(disabled)
N2000_dt5_threads1,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,1,2000,105.481553,0.047487,0.052741,18.961,(disabled)
N2000_dt5_threads2,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,2,2000,157.369955,0.062986,0.078685,12.709,(disabled)
N2000_dt5_threads4,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,4,2000,112.437949,0.053019,0.056219,17.788,(disabled)
N2000_dt5_threads8,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,8,2000,86.938275,0.035978,0.043469,23.005,(disabled)
N2000_dt5_threads16,cpu,C:\Users\79960\CLionProjects\MPI_CUDA\data\random_N2000.txt,10000,5,1e-05,2000,16,2000,63.060342,0.026962,0.031530,31.716,(disabled)
