t,x1,y1,x2,y2,x3,y3,x4,y4
0.0,0,0,1.496e+11,0,1.082e+11,0,2.279e+11,0
86400,346.2347233,0,1.495557189e+11,2573251200,1.081153544e+11,3025728000,2.278809193e+11,2080252800
172800,1038.805094,8.143065056,1.494671502e+11,5145740427,1.079460301e+11,6049086104,2.278427571e+11,4160331421
259200,2077.609586,32.58269665,1.493343004e+11,7716705255,1.076920604e+11,9067700711,2.277855142e+11,6240061655
345600,3462.343457,81.4775834,1.491571893e+11,1.028538303e+10,1.073535454e+11,1.207919638e+10,2.277091928e+11,8319269278
432000,5192.498126,162.9863027,1.489358496e+11,1.285101111e+10,1.069306521e+11,1.508119771e+10,2.27613797e+11,1.039778006e+10
518400,7267.360692,285.2619772,1.486703274e+11,1.541282706e+10,1.064236147e+11,1.807133126e+10,2.274993322e+11,1.24754198e+10
604800,9686.0136,456.4468895,1.483606819e+11,1.797006891e+10,1.058327345e+11,2.104722744e+10,2.273658055e+11,1.455201429e+10
691200,12447.33445,684.6670602,1.480069855e+11,2.052197538e+10,1.051583804e+11,2.400652249e+10,2.272132255e+11,1.662738939e+10
777600,15549.99598,978.0267921,1.476093237e+11,2.306778609e+10,1.044009883e+11,2.694686038e+10,2.270416025e+11,1.870137101e+10
864000,18992.46615,1344.603187,1.471677953e+11,2.56067418e+10,1.035610618e+11,2.986589479e+10,2.268509483e+11,2.077378512e+10
950400,22773.00844,1792.440636,1.466825122e+11,2.813808466e+10,1.026391712e+11,3.276129107e+10,2.266412762e+11,2.284445778e+10
1036800,26889.6823,2329.545294,1.461535994e+11,3.06610584e+10,1.016359543e+11,3.563072822e+10,2.264126013e+11,2.491321514e+10
1123200,31340.34369,2963.879537,1.455811953e+11,3.317490861e+10,1.005521155e+11,3.847190087e+10,2.261649401e+11,2.697988345e+10
1209600,36122.64591,3703.356414,1.449654511e+11,3.567888291e+10,9.938842562e+10,4.128252125e+10,2.258983106e+11,2.904428912e+10
1296000,41234.04044,4555.834085,1.443065313e+11,3.817223125e+10,9.81457218e+10,4.406032119e+10,2.256127327e+11,3.110625866e+10
1382400,46671.7781,5529.110277,1.436046135e+11,4.06542061e+10,9.682490688e+10,4.68030541e+10,2.253082275e+11,3.316561875e+10
1468800,52432.91023,6630.916729,1.428598883e+11,4.312406266e+10,9.542694902e+10,4.950849696e+10,2.249848179e+11,3.522219623e+10
1555200,58514.2902,7868.91366,1.420725593e+11,4.558105916e+10,9.39528811e+10,5.217445224e+10,2.246425284e+11,3.727581813e+10
1641600,64912.5749,9250.684257,1.41242843e+11,4.802445704e+10,9.240380016e+10,5.479874997e+10,2.242813848e+11,3.932631168e+10
1728000,71624.2266,10783.72917,1.40370969e+11,5.045352117e+10,9.07808667e+10,5.73792496e+10,2.239014149e+11,4.137350428e+10
1814400,78645.51481,12475.46108,1.394571797e+11,5.286752014e+10,8.908530401e+10,5.991384202e+10,2.235026477e+11,4.341722361e+10
1900800,85972.5184,14333.19922,1.385017303e+11,5.526572643e+10,8.731839732e+10,6.240045143e+10,2.230851139e+11,4.545729754e+10
1987200,93601.12791,16364.16404,1.375048888e+11,5.764741666e+10,8.548149293e+10,6.483703732e+10,2.226488458e+11,4.749355422e+10
2073600,101527.0479,18575.47185,1.364669359e+11,6.001187185e+10,8.357599736e+10,6.722159632e+10,2.221938772e+11,4.952582205e+10
2160000,109745.7998,20974.12954,1.35388165e+11,6.235837761e+10,8.160337629e+10,6.95521641e+10,2.217202435e+11,5.155392972e+10
2246400,118252.7243,23567.02937,1.34268882e+11,6.468622436e+10,7.956515353e+10,7.18268172e+10,2.212279818e+11,5.357770619e+10
2332800,127042.9847,26360.94378,1.331094053e+11,6.69947076e+10,7.746290991e+10,7.404367489e+10,2.207171304e+11,5.559698077e+10
2419200,136111.5698,29362.52035,1.319100657e+11,6.928312811e+10,7.52982821e+10,7.620090094e+10,2.201877296e+11,5.761158305e+10
2505600,145453.2972,32578.2768,1.306712066e+11,7.155079218e+10,7.307296136e+10,7.829670539e+10,2.196398208e+11,5.962134299e+10
2592000,155062.8169,36014.59604,1.293931833e+11,7.379701182e+10,7.078869225e+10,8.032934627e+10,2.190734474e+11,6.162609086e+10
2678400,164934.6147,39677.72138,1.280763635e+11,7.602110501e+10,6.844727124e+10,8.229713135e+10,2.18488654e+11,6.362565733e+10
2764800,175063.0161,43573.75178,1.267211269e+11,7.822239589e+10,6.605054534e+10,8.41984197e+10,2.17885487e+11,6.561987344e+10
2851200,185442.1904,47708.63727,1.253278651e+11,8.040021503e+10,6.360041053e+10,8.603162341e+10,2.172639941e+11,6.760857061e+10
2937600,196066.1542,52088.1744,1.238969817e+11,8.255389959e+10,6.109881031e+10,8.779520909e+10,2.166242247e+11,6.959158067e+10
3024000,206928.7765,56718.00189,1.224288919e+11,8.468279356e+10,5.854773404e+10,8.948769941e+10,2.159662298e+11,7.156873588e+10
3110400,218023.7821,61603.59632,1.209240227e+11,8.678624801e+10,5.594921533e+10,9.110767459e+10,2.152900617e+11,7.353986892e+10
3196800,229344.7571,66750.26803,1.193828127e+11,8.886362124e+10,5.330533029e+10,9.265377383e+10,2.145957745e+11,7.550481293e+10
3283200,240885.1527,72163.1571,1.178057115e+11,9.091427905e+10,5.061819584e+10,9.412469668e+10,2.138834237e+11,7.746340151e+10
3369600,252638.2905,77847.22948,1.161931805e+11,9.293759492e+10,4.788996781e+10,9.551920432e+10,2.131530663e+11,7.941546874e+10
3456000,264597.3675,83807.27329,1.14545692e+11,9.493295022e+10,4.512283919e+10,9.68361209e+10,2.124047608e+11,8.136084916e+10
3542400,276755.4608,90047.89523,1.128637293e+11,9.689973442e+10,4.231903815e+10,9.807433466e+10,2.116385674e+11,8.329937786e+10
3628800,289105.5327,96573.51719,1.111477866e+11,9.883734532e+10,3.948082612e+10,9.923279913e+10,2.108545475e+11,8.523089042e+10
3715200,301640.4366,103388.373,1.09398369e+11,1.007451892e+11,3.661049584e+10,1.003105342e+11,2.100527643e+11,8.715522295e+10
3801600,314352.9218,110496.5053,1.07615992e+11,1.026226811e+11,3.371036926e+10,1.013066271e+11,2.092332825e+11,8.907221211e+10
3888000,327235.6392,117901.7628,1.058011816e+11,1.044692448e+11,3.078279555e+10,1.022202333e+11,2.08396168e+11,9.098169514e+10
